Datum;Beschreibung;Ausprägung;Total;Kanton_Zürich_Ja;Kanton_Zürich_Nein;Alter_15-29;Alter_30-64;Alter_65-79;Männlich;Weiblich;Städtisch;Ländlich;Erwerbstätig;In_Ausbildung;Nicht_Erwerbstätig
23.02.2020;Radius;10 - 20 Kilometer;10.1825383;12.64404968;9.554369382;12.07191514;10.78387965;4.690007596;11.30347937;9.060155732;7.648772732;13.62035734;11.16249997;11.30863563;4.59081824
23.02.2020;Radius;20 - 50 Kilometer;13.74371769;11.00018878;14.44385647;17.97780733;12.03988587;14.77767331;13.10227298;14.38598728;13.02807676;14.71470097;12.60058085;17.41869076;16.0469211
23.02.2020;Radius;50 - 100 Kilometer;7.744714064;6.778204178;7.991363937;11.73607293;6.946498356;5.186601565;8.783108815;6.704983967;8.443777244;6.796223509;7.920495605;11.39211994;3.827383059
23.02.2020;Radius;100++ Kilometer;3.215703589;4.046055377;3.003800777;6.316995633;2.563378594;1.368450973;3.458792871;2.972301702;3.697612353;2.561848653;2.749820704;8.077064049;1.309230015
24.02.2020;Distanz;weniger als 2 Km;10.55088368;11.75464212;10.24483527;7.3259413;9.671511303;19.53767614;10.18180067;10.92041349;10.77813459;10.23592118;8.732197587;8.998038113;20.62472103
24.02.2020;Distanz;2 - 10 Kilometer;18.77760687;17.76880919;19.03408766;15.62274793;18.69073577;24.07738354;17.16736113;20.3898019;23.13667532;12.73607723;18.4249787;16.45498842;22.45054198
24.02.2020;Distanz;10 - 20 Kilometer;16.45082021;16.40917105;16.46140926;16.40576107;16.40464134;16.72940146;15.74881604;17.15367419;18.15673754;14.08647329;16.15444748;16.2259109;18.06851058
24.02.2020;Distanz;20 - 50 Kilometer;26.33914318;31.09425939;25.13018323;28.00545283;26.3546148;23.67724847;26.16216998;26.51633062;24.19564586;29.30996201;27.44560841;24.28209368;22.76393835
24.02.2020;Distanz;50 - 100 Kilometer;16.43841802;15.30519157;16.72653409;17.27073317;17.26678741;11.40376782;17.16040547;15.71555656;13.60672271;20.36305726;17.42775073;17.18044732;11.04578891
24.02.2020;Distanz;100++ Kilometer;11.44312804;7.667926666;12.40295048;15.3693637;11.61170938;4.574522562;13.57944671;9.304223241;10.12608398;13.26850903;11.8150171;16.85852157;5.046499139
24.02.2020;Radius;weniger als 500 Meter;9.851941809;10.09912593;9.78909672;6.45674179;9.646432704;16.06121193;10.13719925;9.566339053;9.88508814;9.806002052;8.597863817;7.607416667;17.79687838
